Sample:	'C6 1uL_20C(EM)	
File name:	acetonitrile.FDS	
Run date:	'17:05:10, 12/09/2023	
Operator:	IISER	
Comment:	'	
		
Instrument		
Model:	F-7000 FL Spectrophotometer	
Serial number:	3037-001	
ROM Version:	5J14000 12	
Accessory:	Polarization unit	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	427.0 nm	
EM  Start WL:	440.0 nm	
EM  End WL:	700.0 nm	
Scan speed:	240 nm/min	
Delay:	1.0 s	
EX Slit:	5.0 nm	
EM Slit:	5.0 nm	
PMT Voltage:	700 V	
Response:	2.0 s	
Corrected spectra:	Off	
Shutter control:	On	
EX Polarizer:	0 deg.	
612.2	0.407	
612.4	0.418	
612.6	0.424	
612.8	0.426	
613.0	0.427	
613.2	0.435	
613.4	0.443	
613.6	0.447	
613.8	0.441	
614.0	0.433	
614.2	0.420	
614.4	0.410	
614.6	0.405	
614.8	0.404	
615.0	0.400	
615.2	0.399	
615.4	0.394	
615.6	0.401	
615.8	0.408	
616.0	0.416	
616.2	0.416	
616.4	0.419	
616.6	0.417	
616.8	0.417	
617.0	0.411	
617.2	0.401	
617.4	0.390	
617.6	0.386	
617.8	0.385	
618.0	0.384	
618.2	0.387	
618.4	0.384	
618.6	0.378	
618.8	0.366	
619.0	0.354	
619.2	0.345	
619.4	0.344	
619.6	0.345	
619.8	0.349	
620.0	0.353	
620.2	0.359	
620.4	0.363	
620.6	0.365	
620.8	0.361	
621.0	0.355	
621.2	0.353	
621.4	0.352	
621.6	0.357	
621.8	0.362	
622.0	0.369	
622.2	0.372	
622.4	0.371	
622.6	0.362	
622.8	0.356	
623.0	0.346	
623.2	0.335	
623.4	0.327	
623.6	0.317	
623.8	0.305	
624.0	0.298	
624.2	0.293	
624.4	0.288	
624.6	0.287	
624.8	0.286	
625.0	0.287	
625.2	0.298	
625.4	0.312	
625.6	0.323	
625.8	0.325	
626.0	0.323	
626.2	0.318	
626.4	0.318	
626.6	0.317	
626.8	0.321	
627.0	0.324	
627.2	0.323	
627.4	0.324	
627.6	0.323	
627.8	0.315	
628.0	0.311	
628.2	0.309	
628.4	0.305	
628.6	0.312	
628.8	0.316	
629.0	0.318	
629.2	0.319	
629.4	0.317	
629.6	0.311	
629.8	0.310	
630.0	0.308	
630.2	0.308	
630.4	0.306	
630.6	0.303	
630.8	0.298	
631.0	0.297	
631.2	0.292	
631.4	0.289	
631.6	0.290	
631.8	0.293	
632.0	0.292	
632.2	0.290	
632.4	0.284	
632.6	0.277	
632.8	0.269	
633.0	0.263	
633.2	0.259	
633.4	0.255	
633.6	0.253	
633.8	0.259	
634.0	0.263	
634.2	0.270	
634.4	0.277	
634.6	0.276	
634.8	0.271	
635.0	0.271	
